CAMIS,DBA,BORO,STREET,CUISINE DESCRIPTION,INSPECTION DATE,CRITICAL FLAG,SCORE,Latitude,Longitude,year
41617347,DUNKIN,Bronx,MORRIS PARK AVENUE,Donuts,2019-08-09,Not Critical,8.0,40.849397165034,-73.853348774007,2019
41617347,DUNKIN,Bronx,MORRIS PARK AVENUE,Donuts,2019-08-09,Not Critical,8.0,40.849397165034,-73.853348774007,2019
41261148,EL VALLE RESTAURANT,Bronx,MELROSE AVENUE,Latin American,2021-08-16,Critical,31.0,40.818423026005995,-73.916686480616,2021
50115730,EJ'S BAKERY & CAFE,Bronx,WEST  261 STREET,Spanish,2022-03-10,Critical,56.0,40.910011880808,-73.902671237021,2022
50039107,HEALTHY FRESH,Bronx,MORRIS PARK AVENUE,American,2018-11-29,Critical,10.0,40.848619894743,-73.855110781538,2018
40819558,JAKE'S STEAKHOUSE,Bronx,BROADWAY,Steakhouse,2022-02-10,Not Critical,13.0,40.891798701882,-73.897243710975,2022
41638086,"DUNKIN',' BASKIN ROBBINS",Bronx,EAST KINGSBRIDGE ROAD,Donuts,2021-08-19,Not Critical,21.0,40.867395347236,-73.89724179416899,2021
50054646,CHINA ONE RESTAURANT,Bronx,EAST GUN HILL ROAD,Chinese,2019-04-16,Not Critical,,40.878808622248,-73.873198063352,2019
50063198,KENNEDY FRIED CHICKEN,Bronx,EAST TREMONT AVENUE,Chicken,2019-10-24,Critical,13.0,40.842799997262,-73.885830042064,2019
41545050,PATRICIA'S,Bronx,MORRIS PARK AVENUE,Italian,2019-11-12,Critical,26.0,40.8493095734,-73.853536926578,2019
50043970,LA ISLA CUCHIFRITOS,Bronx,WILLIS AVENUE,Latin American,2019-10-02,Critical,25.0,40.815223855266,-73.918359581654,2019
50043970,LA ISLA CUCHIFRITOS,Bronx,WILLIS AVENUE,Latin American,2019-10-02,Critical,25.0,40.815223855266,-73.918359581654,2019
50043848,ESTRELLITA POBLANA,Bronx,WESTCHESTER SQUARE,Mexican,2020-02-05,Critical,20.0,40.842212871263,-73.844014727386,2020
41574705,WENDY'S,Bronx,EAST TREMONT AVENUE,Hamburgers,2020-02-06,Critical,9.0,40.842670775566,-73.845701494537,2020
50004928,GOTHAM STADIUM TENNIS CENTER CAFE,Bronx,EXTERIOR STREET,Coffee/Tea,2018-10-29,Critical,11.0,40.823458153267005,-73.931020852635,2018
50045798,MARGARITA'S,Bronx,AVENUE SAINT JOHN,Spanish,2017-03-07,Not Critical,8.0,40.815771726517,-73.9028673971,2017
41716268,KENNEDY FRIED CHICKEN,Bronx,3 AVENUE,Chicken,2019-05-07,Critical,10.0,40.820278445382,-73.912948302332,2019
40979519,CLUB W,Bronx,HUNTS POINT AVENUE,American,2019-08-08,Critical,21.0,40.813877999164,-73.885178993205,2019
50006791,MARAVILLA'S BAR & GRILL,Bronx,SOUNDVIEW AVENUE,Spanish,2019-06-05,Not Critical,13.0,40.810756820716,-73.855634249473,2019
50110913,PIZZERIA Y TORTERIA LOS TIGRES DEL BRONX,Bronx,MELROSE AVENUE,Latin American,2021-08-16,Critical,39.0,40.817945597982,-73.916903853245,2021
41616073,GRUENEBAUM'S BAKERY & CAFE,Bronx,RIVERDALE AVENUE,Jewish/Kosher,2017-08-22,Not Critical,19.0,40.906096549329,-73.904312188114,2017
